ENSG00000237470	ENSG00000148700
ENSG00000163617	ENSG00000170899
ENSG00000136750	ENSG00000167306
ENSG00000182310	ENSG00000088836
ENSG00000084090	ENSG00000116661
ENSG00000145362	ENSG00000136717
ENSG00000081237	ENSG00000115956
ENSG00000032444	ENSG00000144057
ENSG00000100292	ENSG00000101336
ENSG00000069849	ENSG00000197361
ENSG00000153446	ENSG00000010704
ENSG00000138613	ENSG00000183154
ENSG00000135336	ENSG00000140876
ENSG00000173275	ENSG00000259322
ENSG00000142686	ENSG00000155363
ENSG00000167113	ENSG00000158483
ENSG00000140022	ENSG00000164089
ENSG00000141858	ENSG00000140471
ENSG00000139625	ENSG00000026036
ENSG00000246731	ENSG00000173947
ENSG00000135999	ENSG00000179912
ENSG00000243302	ENSG00000204533
ENSG00000172650	ENSG00000242288
ENSG00000198604	ENSG00000142920
ENSG00000172508	ENSG00000187239
ENSG00000011523	ENSG00000198408
ENSG00000247982	ENSG00000233739
ENSG00000251595	ENSG00000256043
ENSG00000196167	ENSG00000233806
ENSG00000260196	ENSG00000223403
ENSG00000132434	ENSG00000183250
ENSG00000124942	ENSG00000250810
ENSG00000150625	ENSG00000172183
ENSG00000227199	ENSG00000196388
ENSG00000144504	ENSG00000175463
ENSG00000230583	ENSG00000200710
ENSG00000159423	ENSG00000226101
ENSG00000184216	ENSG00000143442
ENSG00000248832	ENSG00000026559
ENSG00000159788	ENSG00000164535
ENSG00000173275	ENSG00000140382
ENSG00000066032	ENSG00000237031
ENSG00000079215	ENSG00000106278
ENSG00000125753	ENSG00000170458
ENSG00000143514	ENSG00000129151
ENSG00000120129	ENSG00000170345
ENSG00000105355	ENSG00000185499
ENSG00000162511	ENSG00000123338
ENSG00000141150	ENSG00000179943
ENSG00000171223	ENSG00000166979
ENSG00000107331	ENSG00000104472
ENSG00000134986	ENSG00000111642
ENSG00000144228	ENSG00000198690
ENSG00000187742	ENSG00000222046
ENSG00000125730	ENSG00000162511
ENSG00000239998	ENSG00000171659
ENSG00000132541	ENSG00000189221
ENSG00000116337	ENSG00000072071
ENSG00000255835	ENSG00000165355
ENSG00000142599	ENSG00000102053
ENSG00000261611	ENSG00000101751
ENSG00000175470	ENSG00000147394
ENSG00000255343	ENSG00000185189
ENSG00000165102	ENSG00000242193
ENSG00000133193	ENSG00000112320
ENSG00000177646	ENSG00000101546
ENSG00000135457	ENSG00000076242
ENSG00000165168	ENSG00000227082
ENSG00000226849	ENSG00000182831
ENSG00000240758	ENSG00000157483
ENSG00000196182	ENSG00000049656
ENSG00000237470	ENSG00000183044
ENSG00000129245	ENSG00000102996
ENSG00000148672	ENSG00000197410
ENSG00000127452	ENSG00000007392
ENSG00000057019	ENSG00000064225
ENSG00000175866	ENSG00000106603
ENSG00000054967	ENSG00000104081
ENSG00000041880	ENSG00000255197
ENSG00000184182	ENSG00000183914
ENSG00000255835	ENSG00000126602
ENSG00000157350	ENSG00000188322
ENSG00000143545	ENSG00000124570
ENSG00000214530	ENSG00000079999
ENSG00000267307	ENSG00000189007
ENSG00000184557	ENSG00000099860
ENSG00000132716	ENSG00000197763
ENSG00000178397	ENSG00000004961
ENSG00000116120	ENSG00000012174
ENSG00000169957	ENSG00000198932
ENSG00000080493	ENSG00000111879
ENSG00000109920	ENSG00000049192
ENSG00000141480	ENSG00000060558
ENSG00000118162	ENSG00000138279
ENSG00000100811	ENSG00000160075
ENSG00000163659	ENSG00000246922
ENSG00000124493	ENSG00000169427
ENSG00000078269	ENSG00000087053
ENSG00000256349	ENSG00000198901
ENSG00000067057	ENSG00000136449
ENSG00000166317	ENSG00000181192
ENSG00000254245	ENSG00000198797
ENSG00000151552	ENSG00000183549
ENSG00000116128	ENSG00000227640
ENSG00000125898	ENSG00000251390
ENSG00000141858	ENSG00000132819
ENSG00000103490	ENSG00000137161
ENSG00000166432	ENSG00000247746
ENSG00000164976	ENSG00000170915
ENSG00000265298	ENSG00000266820
ENSG00000053702	ENSG00000126803
ENSG00000196177	ENSG00000171566
ENSG00000235236	ENSG00000177479
ENSG00000138964	ENSG00000102034
ENSG00000180182	ENSG00000109927
ENSG00000140022	ENSG00000078295
ENSG00000232445	ENSG00000183298
ENSG00000109472	ENSG00000113211
ENSG00000100522	ENSG00000185896
ENSG00000186660	ENSG00000204120
ENSG00000164066	ENSG00000164219
ENSG00000057252	ENSG00000020577
ENSG00000117408	ENSG00000172508
ENSG00000134278	ENSG00000168246
ENSG00000163220	ENSG00000143546
ENSG00000267952	ENSG00000111676
ENSG00000183837	ENSG00000253540
ENSG00000038945	ENSG00000120708
ENSG00000123395	ENSG00000131018
ENSG00000163214	ENSG00000178700
ENSG00000267020	ENSG00000064666
ENSG00000113758	ENSG00000175264
ENSG00000135766	ENSG00000105968
ENSG00000136274	ENSG00000181409
ENSG00000160877	ENSG00000185133
ENSG00000138696	ENSG00000215386
ENSG00000126803	ENSG00000166912
ENSG00000118785	ENSG00000167083
ENSG00000107862	ENSG00000181222
ENSG00000064042	ENSG00000117174
ENSG00000173039	ENSG00000230487
ENSG00000253352	ENSG00000104375
ENSG00000136044	ENSG00000128849
ENSG00000196405	ENSG00000076344
ENSG00000170458	ENSG00000066336
