from	to
516	1690
64859	2717
64859	7405
3725	2353
10039	740
23764	2532
23764	10797
54545	64417
54545	10589
4147	5375
4147	26275
4147	51286
4147	10906
4147	55295
5333	203
4651	730994
4651	7770
57232	23011
1844	4234
1844	8878
1844	91526
1844	205564
7453	56704
7453	84549
7453	54541
7453	3782
7453	6674
80727	57596
8673	79887
8673	4242
55890	64919
55890	5919
55890	5274
4647	29109
1382	9749
79639	28227
51306	9665
92	79605
92	54989
55145	84501
55145	51368
388474	441034
388474	6124
6696	4650
3059	128346
3059	9332
9118	404037
9118	9696
9118	19
51163	5738
80233	55264
80233	55072
80233	8660
80233	400890
5510	11188
10989	6990
10989	1213
10989	10463
80856	64794
7405	23287
2353	467
2353	8295
2353	5358
2353	23645
2353	23112
2353	146378
2353	23109
2353	3786
2353	65989
2353	5295
2353	51278
2353	57018
2353	29940
2532	1268
2532	602
2532	50863
2532	7088
10797	8460
10797	57232
10797	129807
10797	388585
10797	197259
64417	27297
64417	3952
64417	10859
5375	373156
5375	8908
51286	55662
51286	727800
51286	342667
51286	148252
51286	11344
51286	400916
51286	64949
51286	10953
203	158947
54541	8517
54541	7422
3782	53346
6674	50507
57596	25907
4242	29108
4242	51310
64919	83985
64919	1008
5919	5730
5919	5800
5274	29887
5274	56126
29109	54842
9749	285971
28227	54862
9665	80273
9665	10991
79605	23108
84501	55262
51368	595
51368	2224
441034	731096
441034	4803
6124	158345
128346	6405
9332	84277
9332	2289
9332	231
404037	25953
404037	6324
404037	23344
404037	23316
19	151835
19	25842
19	4913
55072	54726
55072	389816
8660	7296
8660	4324
400890	1399
11188	55897
11188	527
11188	192683
6990	7416
6990	8915
6990	29088
10463	54919
64794	54602
23287	140803
467	11060
467	57238
467	5863
467	7027
467	1843
467	1522
467	50651
467	55654
467	5283
467	4659
467	26272
467	2850
467	129804
467	2787
467	26751
467	22929
467	728564
467	114902
467	6001
467	3638
467	7398
467	2876
467	2717
467	10548
467	4351
467	84661
467	54432
467	1316
467	599
467	2774
467	64135
467	2483
467	8243
467	5209
467	9221
467	79157
467	26225
467	54813
467	8780
467	56937
467	56997
467	55245
467	153642
467	2124
23645	57121
23109	10683
65989	25976
5295	9647
5295	23271
602	9846
388585	10675
388585	148523
3952	84520
10859	55142
10859	1438
148252	284716
148252	81037
400916	112703
64949	29114
10953	64285
158947	55757
158947	64432
7422	4035
53346	79656
53346	9201
50507	4861
25907	8816
51310	25864
51310	400916
51310	123
5730	4925
5800	56478
5800	645899
29887	10745
29887	65059
54842	79720
10991	5347
10991	5921
23108	163404
4803	5371
158345	1975
2289	687
6324	54913
6324	64333
6324	8682
23316	3321
25842	9126
1399	10194
527	51016
527	731049
527	29924
527	10134
527	22803
527	55168
527	79188
192683	23386
192683	8567
7416	3939
7416	659
29088	9474
54919	79885
1843	9709
26272	50856
129804	1958
6001	953
6001	1794
6001	4973
3638	2002
3638	647673
3638	23199
3638	4598
3638	65982
3638	149076
84661	9644
26225	10938
8780	1975
8780	55768
8780	80155
8780	5832
56937	25909
2124	64760
57121	89846
57121	3394
10683	57574
25976	8754
25976	4501
25976	348938
25976	56647
