alias_previous_symbol	index
ACTGP1	281
ACT1GP1	281
ACTL2	282
ACTGP2	282
ACTGP3	283
ACTGP4	284
ACTGP6	285
ACTGP7	286
ACTGP8	287
ACTGP9	288
ACTL1	289
ACTGP10	289
POTENP	303
AGPG	304
ACTL3	305
ACTA3	305
ACTSG	305
Actl6	306
BAF53A	306
Arp4	306
Baf53a	306
INO80K	306
ACTL6	307
BAF53B	307
Tact1	309
CT57	310
MGC33407	311
C20orf134	312
C14orf84	314
FSGS1	317
ARP1	321
Arp1A	321
CTRN2	323
Arp1B	323
ARP2	324
ARP3	325
AC104653.1	326
ARP11	327
ARP3beta	327
FKSG73	329
ARP11	335
FLJ12785	339
Arp5	339
INO80M	339
ARP6	340
FLJ13433	340
INO80N	342
ARP8	342
HARP11	343
ACTR11	343
Arp11	343
Arp10	343
AIP1	344
KIAA0705	344
ARIP1	344
Arp-T1	344
Arp-T2	346
ARPM2	346
FLJ25424	346
ARPM1	347
ACVRLK2	348
SKR1	348
ALK2	348
ACVR1A	348
ACVRLK4	349
ALK4	349
SKR2	349
ActRIB	349
ALK7	350
ACVRLK7	350
ACVR2	351
ACTRII	351
ActR-IIB	352
ACVRLK1	354
ORW2	354
HHT2	354
ALK1	354
HHT	354
HCBP1	356
MGC9740	356
ACY-3	356
IDGFL	360
CECR1	360
ADGF	360
Tenr	361
TENRL	364
FLJ00337	364
ADAM1	366
FTNAP	366
PH-30a	366
Ftna	366
ADAM1P	366
FTNB	368
PH-30b	368
PH30	368
CT15	368
CYRN1	369
ADAM3	369
tMDCI	369
CYRN2	370
ADAM5P	371
tMDCII	371
C14orf96	372
tMDCIV	372
GP-83	373
EAPI	373
CD156	374
MS2	374
CD156A	374
CORD9	375
MDC9	375
KIAA0021	375
MCMP	375
Mltng	375
kuz	376
MADM	376
HsT18717	376
CD156C	376
MDC	377
MCMPMltna	378
MLTN	378
MDC15	379
TACE	380
cSVP	380
CD156B	380
tMDCIII	381
ADAM27	381
MLTNB	382
C14orf55	384
ADAM31	387
ADAM21P	388
MDC2	389
MDC3	390
eMDCII	392
MDC-Lm	392
MDC-Ls	392
ADAM23	392
svph1	393
CT73	393
svph4	394
C20orf153	396
DKFZp434K0521	396
dJ964F7.1	396
M12.219	397
C3-C5	398
METH1	398
KIAA1346	398
ADAMTS-3	399
hPCPNI	399
PCINP	399
ADAM-TS2	399
NPI	399
KIAA0366	400
ADAMTS-4	400
KIAA0688	401
ADAMTS-2	401
ADMP-1	401
ADMP-2	402
ADAMTS11	402
ADAM-TS6	403
ADAM-TS7	404
DKFZp434H204	404
ADAMTS7P2	405
METH2	408
FLJ41712	408
ADAM-TS8	408
KIAA1312	409
ADAM-TS10	412
C9orf8	414
VWFCP	414
TTP	414
vWF-CP	414
FLJ42993	414
MGC118899	414
MGC118900	414
DKFZp434C2322	414
ADAMTS16s	417
FLJ32769	418
FLJ16363	418
ADAMTS21	419
RP11-346A9.1	421
GON-1	422
C9orf94	423
ADAMTSR1	423
FLJ35283	423
KIAA0605	424
KIAA1233	425
punctin-2	425
TSRC1	426
DKFZP434K1772	426
C1orf138	427
FLJ45786	427
THSD6	429
CENTA1	430
GCS1L	430
CENTA2	431
IFI4	432
G1P1	432
ADAR1	432
ADAR2	433
DRADA2	433
ADAR2g	433
DRABA2	433
RED1	433
hRED1	433
ADAR2a-L1	433
ADAR2a-L2	433
ADAR2a-L3	433
ADAR2a	433
ADAR2b	433
ADAR2c	433
ADAR2d	433
RED2	434
hRED2	434
ADAR3	434
C10orf109	435
NCRNA00168	435
bA466B20.1	435
DEADC1	437
dJ20N2.1	437
TAD2	437
TAD3	438
FLJ39600	439
MGC20727	440
FLJ35454	441
DFNB44	443
AC1	443
HBAC2	444
KIAA1060	444
AC2	444
AC3	445
AC4	446
AC5	447
AC6	448
KIAA0037	450
AC7	450
ADCY3	451
HBAC1	451
AC8	451
AC9	452
SAC	453
Sacy	453
SACI	453
HCA2	453
RP1-313L4.2	453
PACAP	455
PAC1	456
PACAPR	456
PAC1R	456
ADDB	458
ADDL	459
C6orf103	461
FLJ23121	461
dJ408K24.1	461
CAPN16	461
GPR123	462
KIAA1828	462
GPR123-AS1	463
GPR124	464
TEM5	464
DKFZp434C211	464
DKFZp434J0911	464
KIAA1531	464
FLJ14390	464
GPR125	465
FLJ38547	465
PGR21	465
BAI1	466
BAI2	467
BAI3	468
KIAA0550	468
GPR133	469
DKFZp434B1272	469
PGR25	469
LACAT8	470
GPR144	471
PGR24	471
TM7LN3	472
EMR1	472
EMR2	473
CD312	473
EMR3	474
GPR127	475
EMR4	475
EMR4P	475
PGR16	475
CD97	476
TM7LN1	476
GPR110	477
hGPCR36	477
PGR19	477
GPR111	478
hGPCR35	478
PGR20	478
GPR113	479
hGPCR37	479
PGR23	479
GPR115	480
FLJ38076	480
PGR18	480
GPR116	481
DKFZp564O1923	481
KIAA0758	481
GPR116P1	483
GPR116P2	484
GPR56	485
TM7LN4	485
TM7XN1	485
GPR64	486
HE6	486
TM7LN2	486
EDDM6	486
GPR97	487
Pb99	487
PGR26	487
GPR112	488
RP1-299I16	488
PGR17	488
GPR114	489
PGR27	489
GPR126	490
FLJ14937	490
GPR128	491
FLJ14454	491
LPHN1	492
